Gene	Accession	Chromosome	End	Start	Strand
Osbpl9	ENSMUSG00000028559	4	109202272	109061145	-
Ttc39aos1	ENSMUSG00000085873	4	109406155	109403794	-
Rnf11	ENSMUSG00000028557	4	109484728	109451098	-
4930522H14Rik	ENSMUSG00000060491	4	109531297	109505337	-
9630013D21Rik	ENSMUSG00000059027	4	109657853	109651529	-
Cdkn2c	ENSMUSG00000028551	4	109667189	109660876	-
Dmrta2os	ENSMUSG00000085256	4	109977813	109976738	-
Elavl4	ENSMUSG00000028546	4	110351909	110203722	-
Slc5a9	ENSMUSG00000028544	4	111902918	111875375	-
Skint9	ENSMUSG00000049972	4	112433985	112385969	-
Skint10	ENSMUSG00000048766	4	112774866	112711147	-
Skint6	ENSMUSG00000087194	4	113286973	112804616	-
Skint5	ENSMUSG00000078598	4	113999503	113477891	-
Gm28864	ENSMUSG00000100998	4	114673340	114672697	-
9130410C08Rik	ENSMUSG00000085323	4	114902859	114817161	-
Foxd2	ENSMUSG00000055210	4	114908873	114906282	-
Foxe3	ENSMUSG00000044518	4	114926013	114925147	-
Cmpk1	ENSMUSG00000028719	4	114987241	114959336	-
Cyp4x1	ENSMUSG00000047155	4	115134281	115106323	-
Cyp4a14	ENSMUSG00000028715	4	115496142	115486200	-
Cyp4b1	ENSMUSG00000028713	4	115647723	115624725	-
Tex38	ENSMUSG00000044556	4	115781018	115779834	-
Gm29434	ENSMUSG00000100081	4	115878576	115878317	-
Dmbx1	ENSMUSG00000028707	4	115939926	115915119	-
Faah	ENSMUSG00000034171	4	116017926	115967145	-
Nsun4	ENSMUSG00000028706	4	116053876	116032842	-
Uqcrh	ENSMUSG00000063882	4	116075071	116066965	-
Rad54l	ENSMUSG00000028702	4	116123690	116094264	-
Lurap1	ENSMUSG00000028701	4	116151338	116132406	-
Tspan1	ENSMUSG00000028699	4	116167601	116161869	-
Mast2	ENSMUSG00000003810	4	116464183	116306762	-
Tmem69	ENSMUSG00000055900	4	116555936	116551633	-
C530005A16Rik	ENSMUSG00000085408	4	116597630	116589733	-
Nasp	ENSMUSG00000028693	4	116627941	116601052	-
Akr1a1	ENSMUSG00000028692	4	116651680	116636510	-
Mmachc	ENSMUSG00000028690	4	116708406	116702279	-
Toe1	ENSMUSG00000028688	4	116807640	116794310	-
Hpdl	ENSMUSG00000043155	4	116821707	116819904	-
Urod	ENSMUSG00000028684	4	116994413	116989965	-
1700021J08Rik	ENSMUSG00000086890	4	117003012	117002166	-
Btbd19	ENSMUSG00000073771	4	117125725	117119219	-
Plk3	ENSMUSG00000028680	4	117133963	117128655	-
Rps8	ENSMUSG00000047675	4	117156243	117153827	-
Kif2c	ENSMUSG00000028678	4	117182639	117159639	-
Armh1	ENSMUSG00000060268	4	117252125	117213334	-
1700012C08Rik	ENSMUSG00000086482	4	117213782	117213334	-
Rnf220	ENSMUSG00000028677	4	117497052	117271463	-
Dmap1	ENSMUSG00000009640	4	117682273	117674681	-
Klf17	ENSMUSG00000048626	4	117765648	117757836	-
Gm17114	ENSMUSG00000091237	4	117868558	117835299	-
Ccdc24	ENSMUSG00000078588	4	117872557	117866524	-
B4galt2	ENSMUSG00000028541	4	117883487	117869260	-
Atp6v0b	ENSMUSG00000033379	4	117887333	117884326	-
Dph2	ENSMUSG00000028540	4	117892032	117888643	-
Ipo13	ENSMUSG00000033365	4	117914999	117894486	-
Artn	ENSMUSG00000028539	4	117929763	117926162	-
St3gal3	ENSMUSG00000028538	4	118134914	117932154	-
Kdm4a	ENSMUSG00000033326	4	118180043	118136957	-
Ptprf	ENSMUSG00000033295	4	118291405	118208213	-
Szt2	ENSMUSG00000033253	4	118409273	118362743	-
Cdc20	ENSMUSG00000006398	4	118437352	118432901	-
Mpl	ENSMUSG00000006389	4	118457513	118442415	-
Tie1	ENSMUSG00000033191	4	118490061	118471191	-
Tmem125	ENSMUSG00000050854	4	118544044	118540941	-
Cfap57	ENSMUSG00000028730	4	118620777	118554551	-
Gm12853	ENSMUSG00000085292	4	118636062	118632847	-
Olfr1342	ENSMUSG00000043383	4	118692756	118687486	-
Olfr1338	ENSMUSG00000095218	4	118758737	118751975	-
Olfr1337	ENSMUSG00000111159	4	118782586	118781636	-
Olfr1335	ENSMUSG00000066061	4	118809944	118808797	-
Olfr1333	ENSMUSG00000110947	4	118836279	118827659	-
Olfr1329	ENSMUSG00000096705	4	118917465	118916524	-
Olfr1328	ENSMUSG00000111259	4	118938612	118930071	-
Gm12863	ENSMUSG00000073765	4	118954919	118954274	-
Gm12865	ENSMUSG00000087238	4	118997198	118984058	-
Gm12862	ENSMUSG00000087464	4	119000485	118999660	-
Gm12866	ENSMUSG00000066060	4	119069111	119054790	-
Gm12867	ENSMUSG00000086683	4	119131001	119130292	-
Gm12868	ENSMUSG00000085505	4	119138801	119133749	-
Zfp691	ENSMUSG00000045268	4	119174195	119169513	-
Ermap	ENSMUSG00000028644	4	119190011	119175457	-
AU022252	ENSMUSG00000078584	4	119232712	119203570	-
Tmem269	ENSMUSG00000028642	4	119218217	119205055	-
Gm12927	ENSMUSG00000085203	4	119256975	119252522	-
Ybx1	ENSMUSG00000028639	4	119294604	119277981	-
Ppih	ENSMUSG00000060288	4	119320546	119300010	-
Ccdc30	ENSMUSG00000028637	4	119415521	119322466	-
Ppcs	ENSMUSG00000028636	4	119422420	119418530	-
Rimkla	ENSMUSG00000048899	4	119492628	119465283	-
Frg2f1	ENSMUSG00000087385	4	119539529	119530308	-
Guca2b	ENSMUSG00000032978	4	119658954	119656607	-
Foxo6	ENSMUSG00000052135	4	120287349	120267079	-
Ctps	ENSMUSG00000028633	4	120570276	120539868	-
Gm45579	ENSMUSG00000110389	4	120648137	120644219	-
Kcnq4	ENSMUSG00000028631	4	120748612	120696138	-
Nfyc	ENSMUSG00000032897	4	120831572	120757438	-
Exo5	ENSMUSG00000028629	4	120925017	120921196	-
Zfp69	ENSMUSG00000064141	4	120951699	120930137	-
Smap2	ENSMUSG00000032870	4	121017247	120968317	-
Zmpste24	ENSMUSG00000043207	4	121098241	121059237	-
Tmco2	ENSMUSG00000078577	4	121109226	121105651	-
Rlf	ENSMUSG00000049878	4	121215084	121145373	-
Gm12888	ENSMUSG00000073764	4	121324917	121316316	-
Gm12886	ENSMUSG00000078576	4	121423099	121414735	-
Gm12887	ENSMUSG00000078575	4	121622103	121614271	-
Cap1	ENSMUSG00000028656	4	122886056	122859047	-
Mfsd2a	ENSMUSG00000028655	4	122961188	122946850	-
Gm12923	ENSMUSG00000086153	4	123094028	123092765	-
Ppie	ENSMUSG00000028651	4	123139951	123127115	-
Bmp8a	ENSMUSG00000032726	4	123343252	123312645	-
Oxct2a	ENSMUSG00000076436	4	123323634	123321875	-
Macf1	ENSMUSG00000028649	4	123684360	123349633	-
Ndufs5	ENSMUSG00000028648	4	123718202	123712710	-
Akirin1	ENSMUSG00000023075	4	123750345	123734559	-
1700121C08Rik	ENSMUSG00000086275	4	123859513	123833622	-
Gm12905	ENSMUSG00000085875	4	123918023	123905062	-
Gm12916	ENSMUSG00000086087	4	124299848	124293693	-
1700021L23Rik	ENSMUSG00000086955	4	124311461	124302837	-
4933435F18Rik	ENSMUSG00000086978	4	124332508	124326308	-
1700057H15Rik	ENSMUSG00000084757	4	124485959	124414416	-
Gm2164	ENSMUSG00000098760	4	124657169	124528924	-
Utp11	ENSMUSG00000028907	4	124693600	124678160	-
Gm12915	ENSMUSG00000086589	4	124751354	124735730	-
1110065P20Rik	ENSMUSG00000078570	4	124851196	124849080	-
Maneal	ENSMUSG00000042763	4	124862171	124855239	-
1700125G02Rik	ENSMUSG00000085263	4	124894782	124890888	-
Cdca8	ENSMUSG00000028873	4	124939311	124918465	-
Gm12930	ENSMUSG00000087011	4	124987009	124957647	-
Dnali1	ENSMUSG00000042707	4	125065703	125055338	-
Gm12932	ENSMUSG00000086342	4	125084947	125082857	-
Zc3h12a	ENSMUSG00000042677	4	125127840	125118423	-
2610028E06Rik	ENSMUSG00000085562	4	125922417	125887851	-
Sh3d21	ENSMUSG00000073758	4	126163491	126150602	-
Thrap3	ENSMUSG00000043962	4	126202760	126164082	-
Map7d1	ENSMUSG00000028849	4	126256343	126232167	-
Adprhl2	ENSMUSG00000042558	4	126321703	126316047	-
Tekt2	ENSMUSG00000028845	4	126325688	126322121	-
Ago3	ENSMUSG00000028842	4	126429556	126331704	-
Ago1	ENSMUSG00000041530	4	126468583	126435012	-
Ago4	ENSMUSG00000042500	4	126533472	126489541	-
Tfap2e	ENSMUSG00000042477	4	126736240	126716006	-
Ncdn	ENSMUSG00000028833	4	126753438	126743750	-
Zmym4	ENSMUSG00000042446	4	126968135	126861939	-
Zmym1	ENSMUSG00000043872	4	127061152	127047094	-
Gja4	ENSMUSG00000050234	4	127314039	127311421	-
Gjb3	ENSMUSG00000042367	4	127330844	127325235	-
Gjb4	ENSMUSG00000046623	4	127354081	127351086	-
Gjb5	ENSMUSG00000042357	4	127358181	127354809	-
1700112K13Rik	ENSMUSG00000087510	4	127812173	127810638	-
CK137956	ENSMUSG00000028813	4	127970951	127927592	-
Csmd2os	ENSMUSG00000087459	4	128166967	128133523	-
Hmgb4	ENSMUSG00000048686	4	128260957	128260212	-
Zscan20	ENSMUSG00000061894	4	128610098	128583539	-
Tlr12	ENSMUSG00000062545	4	128618619	128615443	-
Zfp362	ENSMUSG00000028799	4	128806045	128773088	-
Azin2	ENSMUSG00000028789	4	128962442	128930233	-
1700086P04Rik	ENSMUSG00000085085	4	129057983	129050097	-
Hpca	ENSMUSG00000028785	4	129122036	129111570	-
S100pbp	ENSMUSG00000040928	4	129189727	129148005	-
C77080	ENSMUSG00000050390	4	129261404	129219578	-
Rbbp4	ENSMUSG00000057236	4	129335370	129307100	-
Zbtb8a	ENSMUSG00000028807	4	129378116	129353628	-
Zbtb8b	ENSMUSG00000048485	4	129440853	129425765	-
Tssk3	ENSMUSG00000000411	4	129491022	129489014	-
Gm12979	ENSMUSG00000086336	4	129509746	129491969	-
Hdac1	ENSMUSG00000028800	4	129542713	129516104	-
Lck	ENSMUSG00000000409	4	129573641	129548344	-
Fam167b	ENSMUSG00000050493	4	129578549	129576815	-
Eif3i	ENSMUSG00000028798	4	129600648	129591960	-
Dcdc2b	ENSMUSG00000078552	4	129614257	129608331	-
Iqcc	ENSMUSG00000040795	4	129619099	129615126	-
Ccdc28b	ENSMUSG00000028795	4	129623947	129619274	-
Txlna	ENSMUSG00000053841	4	129641065	129626078	-
Kpna6	ENSMUSG00000003731	4	129672767	129643980	-
Tmem39b	ENSMUSG00000053730	4	129696838	129676355	-
Khdrbs1	ENSMUSG00000028790	4	129742303	129703164	-
Gm12963	ENSMUSG00000085517	4	130047774	130024256	-
Hcrtr1	ENSMUSG00000028778	4	130139359	130130217	-
Tinagl1	ENSMUSG00000028776	4	130175122	130164454	-
Ldc1	ENSMUSG00000023120	4	130222401	130209109	-
Serinc2	ENSMUSG00000023232	4	130279205	130253495	-
Gm10570	ENSMUSG00000073752	4	130308674	130306556	-
Zcchc17	ENSMUSG00000028772	4	130359943	130315383	-
Nkain1	ENSMUSG00000078532	4	130574173	130531602	-
Gm12970	ENSMUSG00000087451	4	130812326	130811617	-
Gm26716	ENSMUSG00000097224	4	130826313	130824394	-
A930031H19Rik	ENSMUSG00000086262	4	131010474	131000832	-
Gm12962	ENSMUSG00000087171	4	131677845	131647048	-
Gm16080	ENSMUSG00000086856	4	131710508	131694607	-
Ptpru	ENSMUSG00000028909	4	131838288	131768457	-
Gm12992	ENSMUSG00000085667	4	131920029	131899478	-
AL607088.1	ENSMUSG00000118394	4	131921528	131920816	-
Epb41	ENSMUSG00000028906	4	132075321	131923413	-
Oprd1	ENSMUSG00000050511	4	132144486	132110726	-
Ythdf2	ENSMUSG00000040025	4	132212303	132184912	-
Gmeb1	ENSMUSG00000028901	4	132261602	132221025	-
Rab42	ENSMUSG00000089687	4	132303385	132302197	-
Trnau1ap	ENSMUSG00000028898	4	132329538	132311763	-
Rcc1	ENSMUSG00000028896	4	132353605	132331919	-
Snhg3	ENSMUSG00000085241	4	132353686	132348014	-
Phactr4	ENSMUSG00000066043	4	132422489	132355923	-
Med18	ENSMUSG00000066042	4	132463921	132458731	-
Sesn2	ENSMUSG00000028893	4	132510501	132492032	-
Gm12981	ENSMUSG00000086997	4	132509649	132503561	-
Atpif1	ENSMUSG00000054428	4	132533659	132530555	-
Xkr8	ENSMUSG00000037752	4	132732546	132724897	-
Smpdl3b	ENSMUSG00000028885	4	132757252	132732966	-
Themis2	ENSMUSG00000037731	4	132796387	132781843	-
Ppp1r8	ENSMUSG00000028882	4	132843169	132826929	-
Stx12	ENSMUSG00000028879	4	132884509	132853501	-
Fam76a	ENSMUSG00000028878	4	132922558	132899213	-
Gpr3	ENSMUSG00000049649	4	133212536	133209340	-
Sytl1	ENSMUSG00000028860	4	133263113	133253090	-
Tmem222	ENSMUSG00000028857	4	133277792	133266045	-
Wdtc1	ENSMUSG00000037622	4	133353481	133292459	-
Gm13257	ENSMUSG00000086850	4	133482526	133479356	-
Trnp1	ENSMUSG00000056596	4	133498550	133491100	-
Nudc	ENSMUSG00000028851	4	133545996	133532542	-
Sfn	ENSMUSG00000047281	4	133602168	133600556	-
Zdhhc18	ENSMUSG00000037553	4	133650154	133605299	-
Pigv	ENSMUSG00000043257	4	133672647	133660387	-
Arid1a	ENSMUSG00000007880	4	133756769	133679008	-
Rps6ka1	ENSMUSG00000003644	4	133887797	133847290	-
Hmgn2	ENSMUSG00000003038	4	133968650	133964738	-
Dhdds	ENSMUSG00000012117	4	134000918	133969028	-
Lin28a	ENSMUSG00000050966	4	134018841	134003330	-
Cd52	ENSMUSG00000000682	4	134095082	134082448	-
Sh3bgrl3	ENSMUSG00000028843	4	134128789	134127406	-
Cep85	ENSMUSG00000037443	4	134187112	134129858	-
Gm7534	ENSMUSG00000073747	4	134203004	134190804	-
Catsper4	ENSMUSG00000048003	4	134227383	134211970	-
Cnksr1	ENSMUSG00000028841	4	134238399	134228041	-
Zfp593	ENSMUSG00000028840	4	134245592	134243289	-
Grrp1	ENSMUSG00000050105	4	134254106	134251110	-
Pdik1l	ENSMUSG00000050890	4	134287895	134275002	-
Extl1	ENSMUSG00000028838	4	134383850	134356372	-
1700021N21Rik	ENSMUSG00000087343	4	134450171	134448766	-
Mtfr1l	ENSMUSG00000046671	4	134535387	134525550	-
Selenon	ENSMUSG00000050989	4	134552166	134537892	-
Man1c1	ENSMUSG00000037306	4	134704290	134561690	-
Ldlrap1	ENSMUSG00000037295	4	134768024	134741554	-
Maco1	ENSMUSG00000028826	4	134853345	134802759	-
Tmem50a	ENSMUSG00000028822	4	134915024	134897849	-
Gm16225	ENSMUSG00000086884	4	135120447	135118221	-
Gm16224	ENSMUSG00000084986	4	135144285	135143421	-
Clic4	ENSMUSG00000037242	4	135272814	135213969	-
Srrm1	ENSMUSG00000028809	4	135353321	135320484	-
Ncmap	ENSMUSG00000043924	4	135398227	135369576	-
Rcan3	ENSMUSG00000059713	4	135433853	135412308	-
Gm15979	ENSMUSG00000087016	4	135430841	135430126	-
Nipal3	ENSMUSG00000028803	4	135495038	135445420	-
Grhl3	ENSMUSG00000037188	4	135573630	135541888	-
Pnrc2	ENSMUSG00000028675	4	135873850	135870918	-
Lypla2	ENSMUSG00000028670	4	135972626	135968224	-
Pithd1	ENSMUSG00000028669	4	135987264	135975460	-
Eloa	ENSMUSG00000028668	4	136021763	136003368	-
Gm24362	ENSMUSG00000097995	4	136018486	136018071	-
Rpl11	ENSMUSG00000059291	4	136053428	136028265	-
Gm27022	ENSMUSG00000098155	4	136349441	136347847	-
Kdm1a	ENSMUSG00000036940	4	136602723	136550540	-
Ephb2	ENSMUSG00000028664	4	136835988	136647539	-
C1qb	ENSMUSG00000036905	4	136886187	136880129	-
C1qc	ENSMUSG00000036896	4	136893065	136889804	-
C1qa	ENSMUSG00000036887	4	136898803	136895917	-
Epha8	ENSMUSG00000028661	4	136956816	136929419	-
Zbtb40	ENSMUSG00000060862	4	137048801	136979732	-
1700037C06Rik	ENSMUSG00000085542	4	137117582	137116709	-
Gm13001	ENSMUSG00000087417	4	137118143	137117143	-
Gm13003	ENSMUSG00000085833	4	137165066	137159082	-
Cdc42	ENSMUSG00000006699	4	137357720	137319696	-
2810405F17Rik	ENSMUSG00000101493	4	137388382	137387266	-
Cela3a	ENSMUSG00000078520	4	137409791	137401554	-
Cela3b	ENSMUSG00000023433	4	137430540	137420999	-
Gm13010	ENSMUSG00000086845	4	137438395	137436579	-
Ldlrad2	ENSMUSG00000094035	4	137582104	137570876	-
Rap1gapos	ENSMUSG00000087476	4	137706606	137696979	-
Alpl	ENSMUSG00000028766	4	137796384	137741733	-
Gm13012	ENSMUSG00000085823	4	137883937	137882370	-
1700095J12Rik	ENSMUSG00000084804	4	138138518	138137595	-
Pink1	ENSMUSG00000028756	4	138326307	138313409	-
Cda	ENSMUSG00000028755	4	138367992	138338424	-
Fam43b	ENSMUSG00000078235	4	138396528	138394092	-
Vwa5b1	ENSMUSG00000028753	4	138635884	138565360	-
Ubxn10	ENSMUSG00000043621	4	138737167	138709837	-
Pla2g2f	ENSMUSG00000028749	4	138757626	138750533	-
Pla2g5	ENSMUSG00000041193	4	138863482	138799244	-
Gm13030	ENSMUSG00000078518	4	138873964	138870992	-
Otud3	ENSMUSG00000041161	4	138913945	138895379	-
Htr6	ENSMUSG00000028747	4	139075570	139061108	-
Nbl1	ENSMUSG00000041120	4	139092993	139082284	-
Micos10	ENSMUSG00000050608	4	139131113	139101814	-
Gm16287	ENSMUSG00000073739	4	139180655	139175405	-
Pqlc2	ENSMUSG00000028744	4	139310708	139294029	-
Mrto4	ENSMUSG00000028741	4	139352576	139347435	-
Pax7	ENSMUSG00000028736	4	139833528	139737062	-
4933427I22Rik	ENSMUSG00000085928	4	139943519	139926111	-
Klhdc7a	ENSMUSG00000078234	4	139968026	139960220	-
Igsf21	ENSMUSG00000040972	4	140246784	140026846	-
Arhgef10l	ENSMUSG00000040964	4	140666012	140514485	-
Padi6	ENSMUSG00000040935	4	140742643	140727355	-
Padi4	ENSMUSG00000025330	4	140774236	140745865	-
Padi3	ENSMUSG00000025328	4	140810648	140785365	-
Padi1	ENSMUSG00000025329	4	140845778	140812983	-
Gm13031	ENSMUSG00000087698	4	140957902	140947666	-
Crocc	ENSMUSG00000040860	4	141060550	141016637	-
Necap2	ENSMUSG00000028923	4	141078357	141066512	-
Szrd1	ENSMUSG00000040842	4	141139775	141113001	-
Gm13055	ENSMUSG00000085774	4	141266016	141261762	-
Clcnka	ENSMUSG00000033770	4	141398724	141384610	-
Clcnkb	ENSMUSG00000006216	4	141416014	141404353	-
Srarp	ENSMUSG00000070637	4	141436105	141432672	-
Spen	ENSMUSG00000040761	4	141538597	141467890	-
Fblim1	ENSMUSG00000006219	4	141606096	141576062	-
Tmem82	ENSMUSG00000043085	4	141618633	141613376	-
Slc25a34	ENSMUSG00000040740	4	141623821	141618824	-
Plekhm2	ENSMUSG00000028917	4	141664899	141625734	-
Ddi2	ENSMUSG00000078515	4	141723419	141677549	-
Rsc1a1	ENSMUSG00000040715	4	141685599	141683851	-
Dnajc16	ENSMUSG00000040697	4	141790931	141760189	-
Cela2a	ENSMUSG00000058579	4	141826160	141814962	-
Ctrc	ENSMUSG00000062478	4	141846359	141814962	-
Efhd2	ENSMUSG00000040659	4	141874920	141858142	-
Fhad1	ENSMUSG00000051435	4	142015082	141890438	-
Tmem51	ENSMUSG00000040616	4	142084304	142030992	-
Gm13053	ENSMUSG00000085574	4	142048578	142042912	-
Kazn	ENSMUSG00000040606	4	142239401	142102390	-
Gm13052	ENSMUSG00000085816	4	142346475	142307765	-
6330411D24Rik	ENSMUSG00000110067	4	143074839	142598441	-
Prdm2	ENSMUSG00000057637	4	143212995	143107391	-
Pdpn	ENSMUSG00000028583	4	143299564	143267431	-
Oog4	ENSMUSG00000047799	4	143450324	143437164	-
Gm13088	ENSMUSG00000078513	4	143657246	143653760	-
Gm13089	ENSMUSG00000070617	4	143702711	143696500	-
Gm13084	ENSMUSG00000059218	4	143816093	143809245	-
Pramef6	ENSMUSG00000078512	4	143900380	143894237	-
Pramef25	ENSMUSG00000078511	4	143951016	143948580	-
Gm13101	ENSMUSG00000078510	4	143966950	143964518	-
Pramef17	ENSMUSG00000078509	4	143994369	143991119	-
Oog3	ENSMUSG00000050810	4	144162663	144157557	-
C87977	ENSMUSG00000046262	4	144213318	144206775	-
Pramel5	ENSMUSG00000036749	4	144280488	144270633	-
Pramef20	ENSMUSG00000073721	4	144377933	144372760	-
Pramef12	ENSMUSG00000028591	4	144408464	144391674	-
1700012P22Rik	ENSMUSG00000028589	4	144438772	144418189	-
Gm9944	ENSMUSG00000095213	4	144453641	144451220	-
Aadacl3	ENSMUSG00000078507	4	144463756	144453771	-
Gm13124	ENSMUSG00000078506	4	144565134	144555000	-
Gm436	ENSMUSG00000078505	4	144686368	144669937	-
Gm13178	ENSMUSG00000041735	4	144721404	144703191	-
Gm438	ENSMUSG00000078504	4	144786583	144777204	-
Vps13d	ENSMUSG00000020220	4	145195005	144972622	-
Tnfrsf1b	ENSMUSG00000028599	4	145246870	145213463	-
Tnfrsf8	ENSMUSG00000028602	4	145315164	145267137	-
Gm13165	ENSMUSG00000086654	4	146205732	146167522	-
1700095A21Rik	ENSMUSG00000086046	4	146546873	146519039	-
Gm21411	ENSMUSG00000045699	4	146909590	146891696	-
4933438K21Rik	ENSMUSG00000093617	4	147068436	147063366	-
Zfp979	ENSMUSG00000066000	4	147642513	147611937	-
Gm16211	ENSMUSG00000086130	4	147670854	147668518	-
Zfp534	ENSMUSG00000062518	4	147702553	147673502	-
Zfp984	ENSMUSG00000078495	4	147809788	147753974	-
Gm20707	ENSMUSG00000093594	4	147809840	147782319	-
Zfp933	ENSMUSG00000059423	4	147848366	147822986	-
Miip	ENSMUSG00000029022	4	147868816	147860778	-
Mfn2	ENSMUSG00000029020	4	147904704	147873599	-
Plod1	ENSMUSG00000019055	4	147936767	147909753	-
Gm13054	ENSMUSG00000086806	4	148004014	148001091	-
Clcn6	ENSMUSG00000029016	4	148038821	148004259	-
Gm13201	ENSMUSG00000078494	4	148075420	148071392	-
Agtrap	ENSMUSG00000029007	4	148088031	148077061	-
Draxin	ENSMUSG00000029005	4	148130698	148098437	-
Fbxo6	ENSMUSG00000055401	4	148152140	148145716	-
Fbxo44	ENSMUSG00000029001	4	148160482	148152800	-
Disp3	ENSMUSG00000041544	4	148287965	148240264	-
Gm13200	ENSMUSG00000086326	4	148359460	148356379	-
Ubiad1	ENSMUSG00000047719	4	148444771	148434495	-
Angptl7	ENSMUSG00000028989	4	148500460	148495183	-
Gm13209	ENSMUSG00000087217	4	148586007	148584721	-
Tardbp	ENSMUSG00000041459	4	148627019	148612382	-
Gm15969	ENSMUSG00000086766	4	148914324	148913511	-
Gm13205	ENSMUSG00000086606	4	148948914	148947492	-
Pex14	ENSMUSG00000028975	4	149099876	148960535	-
Cort	ENSMUSG00000028971	4	149126763	149125034	-
Cenps	ENSMUSG00000073705	4	149137629	149127121	-
Pgd	ENSMUSG00000028961	4	149166771	149149991	-
Kif1b	ENSMUSG00000063077	4	149307693	149176319	-
Ube4b	ENSMUSG00000028960	4	149426749	149328416	-
Rbp7	ENSMUSG00000028996	4	149454978	149449687	-
Nmnat1	ENSMUSG00000028992	4	149485202	149467572	-
Gm13066	ENSMUSG00000086949	4	149567790	149565620	-
Pik3cd	ENSMUSG00000039936	4	149702571	149649168	-
Tmem201	ENSMUSG00000044700	4	149738044	149715375	-
Slc25a33	ENSMUSG00000028982	4	149774277	149744036	-
Gm13073	ENSMUSG00000084807	4	149780714	149780024	-
Spsb1	ENSMUSG00000039911	4	149955043	149896283	-
H6pd	ENSMUSG00000028980	4	150009023	149979475	-
Gm13093	ENSMUSG00000087094	4	150119263	150113879	-
Car6	ENSMUSG00000028972	4	150201332	150187015	-
Gm13091	ENSMUSG00000085213	4	150568544	150566869	-
Slc45a1	ENSMUSG00000039838	4	150652174	150628572	-
Gm16079	ENSMUSG00000085869	4	150678792	150668248	-
1700045H11Rik	ENSMUSG00000078492	4	150854949	150828225	-
Park7	ENSMUSG00000028964	4	150914437	150897133	-
Camta1	ENSMUSG00000014592	4	151861876	150917322	-
Per3	ENSMUSG00000028957	4	151044665	151003652	-
Vamp3	ENSMUSG00000028955	4	151057963	151047300	-
Thap3	ENSMUSG00000039759	4	151988997	151982639	-
Phf13	ENSMUSG00000047777	4	151996258	151989633	-
Zbtb48	ENSMUSG00000028952	4	152027671	152019774	-
Tas1r1	ENSMUSG00000028950	4	152038568	152027914	-
Espn	ENSMUSG00000028943	4	152152371	152120331	-
Hes3	ENSMUSG00000028946	4	152291662	152285972	-
Rnf207	ENSMUSG00000058498	4	152318993	152307019	-
Gm13645	ENSMUSG00000085179	4	152353641	152352198	-
Kcnab2	ENSMUSG00000028931	4	152477910	152390742	-
Gm13173	ENSMUSG00000085648	4	153146943	153145590	-
Ajap1	ENSMUSG00000039546	4	153482811	153373221	-
BC039966	ENSMUSG00000086272	4	153950503	153947633	-
Dffb	ENSMUSG00000029027	4	153975126	153964449	-
Smim1	ENSMUSG00000078350	4	154026230	154020470	-
Ccdc27	ENSMUSG00000039492	4	154042677	154026639	-
Trp73	ENSMUSG00000029026	4	154140208	154056253	-
Tprgl	ENSMUSG00000029030	4	154160666	154157485	-
Arhgef16	ENSMUSG00000029032	4	154301676	154278486	-
Prdm16	ENSMUSG00000039410	4	154636873	154316125	-
Gm27202	ENSMUSG00000098424	4	154645701	154645083	-
Gm13110	ENSMUSG00000086810	4	154655318	154645754	-
Actrt2	ENSMUSG00000051276	4	154667867	154666433	-
Gm13112	ENSMUSG00000087437	4	154872003	154864506	-
Prxl2b	ENSMUSG00000029059	4	154899135	154895504	-
Tnfrsf14	ENSMUSG00000042333	4	154928563	154921933	-
Gm20421	ENSMUSG00000092483	4	154961678	154960770	-
Plch2	ENSMUSG00000029055	4	155056784	154983115	-
Rer1	ENSMUSG00000029048	4	155086382	155074110	-
Ski	ENSMUSG00000029050	4	155222592	155154075	-
Prkcz	ENSMUSG00000029053	4	155361361	155260129	-
Gabrd	ENSMUSG00000029054	4	155398112	155384980	-
5830444B04Rik	ENSMUSG00000084803	4	155421704	155398763	-
Gm16023	ENSMUSG00000086682	4	155624755	155608300	-
Gm10563	ENSMUSG00000073682	4	155645408	155614413	-
Mmp23	ENSMUSG00000029061	4	155653384	155650655	-
Mib2	ENSMUSG00000029060	4	155669198	155654677	-
1500002C15Rik	ENSMUSG00000096221	4	155734727	155732545	-
Atad3a	ENSMUSG00000029036	4	155761093	155740641	-
Vwa1	ENSMUSG00000042116	4	155774698	155768149	-
Tmem88b	ENSMUSG00000073680	4	155785874	155781591	-
Mxra8os	ENSMUSG00000073679	4	155840178	155839492	-
Tas1r3	ENSMUSG00000029072	4	155863362	155859268	-
Cptp	ENSMUSG00000029073	4	155869440	155864723	-
Pusl1	ENSMUSG00000051557	4	155891781	155887879	-
B3galt6	ENSMUSG00000050796	4	155992649	155989466	-
Gm16008	ENSMUSG00000087381	4	156031643	156022008	-
Ttll10	ENSMUSG00000029074	4	156059414	156034840	-
Gm13648	ENSMUSG00000086549	4	156059802	156052715	-
Agrn	ENSMUSG00000041936	4	156197488	156165290	-
Isg15	ENSMUSG00000035692	4	156200796	156199455	-
Plekhn1	ENSMUSG00000078485	4	156234857	156221456	-
Samd11	ENSMUSG00000096351	4	156255657	156246966	-
Vmn1r2	ENSMUSG00000115072	4	3173006	3167320	+
AI838599	ENSMUSG00000085180	4	3258092	3242055	+
Tgs1	ENSMUSG00000028233	4	3616619	3574875	+
2210414B05Rik	ENSMUSG00000085394	4	3663108	3656508	+
